application_key,status,fixture,classification,unresolved_families,unresolved_dispositions,periodic_review,model_score_changed,model_tier_changed,edd_changed,approval_changed,floor_changed,compliance_review_changed,evidence_stale_or_incomplete
0002c0769466df76,rejected,false,TERMINAL_READ_ONLY,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,true
002744595894452e,submitted_to_compliance,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector,service","LEGACY_SERVICE_UNMAPPED,QUARANTINE,REJECT",false,false,false,false,true,false,true,false
007f2aa34509ad85,compliance_review,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
00821048a941e343,in_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0154c1c4b9abaace,compliance_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
01565489a29ef15a,under_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
016fea671dcd7cbf,kyc_submitted,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0177959c1dd1c54a,kyc_documents,false,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
01c27d46d8144d64,kyc_submitted,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,true,false,false,false
020bbd193f55171d,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
0218fa864a231015,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,entity_type,incorporation_country,introduction,monthly_volume,ownership,sector",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
022351cc1156f85e,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,false
02324ce8d1a294ae,kyc_documents,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
026b8818df49bc50,kyc_documents,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,false
03238ab753238300,approved,false,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
033772c7bd62b024,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
034d57ef0d419f73,approved,false,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0385b5b3d5496488,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
03cc3d433147c809,pricing_review,false,BLOCKED,"complexity,entity_type,monthly_volume,sector",QUARANTINE,false,false,false,false,false,false,false,false
0486387bbdf698b5,draft,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
049a788cb0ce03e1,draft,false,BLOCKED,"complexity,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
04a8e451a47f146e,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
054282524c6fb7e7,compliance_review,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,true,false,false,false
0590ac8d58b4e34b,edd_required,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
067b229df4772bbb,kyc_documents,false,READY_AFTER_DATA_CLEANUP,"complexity,introduction,monthly_volume",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
06ed1f36df4e7983,kyc_submitted,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,true,false,true,false
07154e7334152c23,approved,false,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0798d68c49267b4f,draft,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
07daadb00b0d9330,edd_required,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
07dae36e84b07b2c,pricing_review,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
08e9aefe63169ec4,rejected,true,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
0919618d18a6ad8a,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,false
095fc247db104d83,compliance_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
09607c426560f9ac,pricing_review,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
09b226dc35ab8cc8,kyc_submitted,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector,service","LEGACY_SERVICE_UNMAPPED,QUARANTINE,REJECT",false,true,false,false,true,false,true,false
0a0e437299c742d9,pre_approval_review,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,false
0a5c7ed3a665313d,edd_required,true,BLOCKED,"complexity,entity_type,introduction,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0a660dfdc347fba0,kyc_documents,false,READY,,,false,true,false,false,false,false,false,false
0a6f7500bf8b302e,draft,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,true
0ac582d78a3df7e1,pricing_review,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,false
0ace981517aadf1f,kyc_submitted,false,BLOCKED,"complexity,entity_type,incorporation_country,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0ad0197ce69f7503,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,entity_type,introduction,monthly_volume,ownership,sector",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
0affa1020def22b8,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0b15b85e074c0a66,draft,false,BLOCKED,"complexity,entity_type,monthly_volume,ownership,sector,service","LEGACY_SERVICE_UNMAPPED,QUARANTINE,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
0b1801c00e0bc81a,draft,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
0b8a8606055843f4,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
0b9fa011f9de1f7e,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0bcaba31ed278372,compliance_review,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
0cb3bcee07b6f2fd,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0cc9236cf1b7ffc8,approved,false,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0d75e7c7ab80613a,compliance_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0e2adfd7722485fa,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0e6b399b6a4e8ce7,edd_required,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
0e8542f3a19c1cf4,pricing_review,false,BLOCKED,"complexity,monthly_volume",QUARANTINE,false,false,false,false,false,false,false,false
0e9c7931a9aecbe6,kyc_submitted,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector,service","LEGACY_SERVICE_UNMAPPED,QUARANTINE,REJECT",false,false,false,false,true,false,true,false
0ed38c83e083efcc,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0f58fb384ef27f67,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,monthly_volume",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
0f8d6eee78a52024,approved,false,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
0fb06994d83a216d,draft,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
0fef93d7bbe32f92,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,entity_type,introduction,monthly_volume,ownership,sector",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
102745b86c4f8ea6,kyc_documents,false,BLOCKED,"entity_type,monthly_volume,service","LEGACY_SERVICE_UNMAPPED,QUARANTINE",false,false,false,false,false,false,false,false
10457c183a8dafba,approved,true,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
10a3894eaf5661fe,kyc_submitted,false,BLOCKED,"complexity,entity_type,introduction","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
10c574bffa29ebef,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,entity_type,incorporation_country,introduction,monthly_volume,ownership,sector",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
114b66ecbc84ec87,pricing_review,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
118d13019dfd2166,kyc_documents,false,READY,,,false,true,false,false,false,false,false,false
118e2b57efdc8c92,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
11be3f86fdf4bc79,pricing_review,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,false
1206ea5ad812f35c,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
120f3e7e944e3a76,pricing_review,false,BLOCKED,"ownership,sector",QUARANTINE,false,true,false,false,false,false,false,false
1210f1519367b894,pricing_review,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
1214b0b560cb3ede,kyc_documents,false,READY,,,false,true,false,false,false,false,false,false
1218887fd5df0011,draft,false,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
12287fc69a18ef4d,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
1275a95e5f427e68,kyc_submitted,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,true,false,true,false
12abab497509cc3a,pricing_review,false,BLOCKED,"complexity,entity_type,monthly_volume,ownership,sector",QUARANTINE,false,false,false,false,false,false,false,false
12bd411d81e9a344,compliance_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
12e2a2c57ea9a7e4,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,true
131293ce18d4d61d,submitted_to_compliance,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
13234436c7611660,draft,false,READY_AFTER_DATA_CLEANUP,"complexity,introduction,monthly_volume",MISSING_REQUIRED_DATA,false,false,false,false,false,false,false,true
13758beafd18247b,pre_approval_review,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
13af91c17b448259,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
14068c3e1a8d0ad6,kyc_submitted,true,BLOCKED,"complexity,introduction,monthly_volume","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
14182d11babf1fb4,edd_required,true,BLOCKED,"complexity,entity_type,introduction,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
14244eda5082726f,pricing_review,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,false
14618af639389eb6,edd_required,false,BLOCKED,sector,QUARANTINE,false,true,false,false,true,false,true,false
149ddf6c7ec63210,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
155faf4aea7cae36,pricing_review,false,READY,,,false,false,false,false,false,false,false,false
15b7c1bee562858f,kyc_documents,false,READY,,,false,false,false,false,false,false,false,false
15bb4e6f18a23c0d,edd_required,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
165521f199fb3552,rejected,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,true
165b02ddc80f20b5,draft,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
1663327b083c83ab,kyc_submitted,true,BLOCKED,"complexity,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
17191697f5b0c444,kyc_documents,true,READY,,,false,true,false,false,false,false,false,false
176550ec46219f68,rmi_sent,false,READY_AFTER_DATA_CLEANUP,"complexity,incorporation_country,introduction,monthly_volume,sector",MISSING_REQUIRED_DATA,false,false,false,false,true,false,false,true
1809277f8230f3ba,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE,REJECT",false,false,false,false,false,false,false,false
18114973c3bc9d62,kyc_submitted,false,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,true,false
181725b120a26c83,in_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,REJECT",false,false,false,false,true,false,true,false
182c0f34643fedd9,pricing_review,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
186bd42c09679d6f,approved,true,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
186d8baa7cf45989,kyc_submitted,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
18831b7e77399834,kyc_documents,false,BLOCKED,"complexity,entity_type,introduction,monthly_volume,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,false
1888c971964acac5,kyc_documents,false,READY,,,false,true,false,false,false,false,false,false
18aeaab5ec137b63,pre_approval_review,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,false
192c7018af837923,pre_approval_review,false,BLOCKED,"complexity,introduction,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,true,false,false,false,false,false,false
193f666c8edc9803,kyc_documents,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership","MISSING_REQUIRED_DATA,UNCLASSIFIED_UNRESOLVED",false,false,false,false,false,false,false,true
1957cc2b0585732a,in_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,true
19b79508ec86110b,approved,true,TERMINAL_READ_ONLY,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
19bc1da5ee1b85c9,compliance_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
1a0a60963a437f21,draft,true,BLOCKED,"complexity,entity_type,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,false,false,false,true
1a300b6f02989b63,approved,false,TERMINAL_READ_ONLY,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",true,false,false,false,false,false,false,true
1b12d8daabdd2294,under_review,true,BLOCKED,"complexity,introduction,monthly_volume,ownership,sector","MISSING_REQUIRED_DATA,QUARANTINE",false,false,false,false,true,false,false,false
