application_key,fixture,status,old_weighted_score,new_weighted_score,old_final_score,new_final_score,old_tier,new_tier,old_lane,new_lane,old_approval,new_approval,old_floors,new_floors,factor_deltas,sentinel_acquisitions,sentinel_removals,classification,explanation,expected
ff2754973d0f92ba,False,submitted_to_compliance,18.7,16.7,18.7,16.7,LOW,LOW,Fast Lane,Fast Lane,compliance_required,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel; approved compliance-review classification,True
95eeee4e84b5ef8b,False,kyc_documents,29.7,29.7,29.7,29.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_incorporation_country:ebc8125facd5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:26e5bc0e65f6""]",[],BLOCKED,new fail-closed unresolved sentinel,True
95aca0e9a33a9ec6,False,rmi_sent,27.7,27.7,27.7,27.7,LOW,LOW,Fast Lane,Fast Lane,direct_low_medium,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,new fail-closed unresolved sentinel,True
5d30d90331d3200a,False,kyc_submitted,28.3,26.3,28.3,26.3,LOW,LOW,Fast Lane,Fast Lane,direct_low_medium,blocked,[],[],"{""ownership"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:ececb8d6da81"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,approved mapping/parser change: ownership; new fail-closed unresolved sentinel,True
85d01704abde410e,False,pricing_review,29.7,29.7,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_edd_routing""]","[""floor_rule_edd_routing""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:069855105206"",""stale:unmapped_incorporation_country:ebc8125facd5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:a24dd1d3436f""]",[],BLOCKED,new fail-closed unresolved sentinel,True
56d6e1ea45657017,False,submitted_to_compliance,35.2,35.2,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_declared_pep""]","[""floor_rule_declared_pep""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,new fail-closed unresolved sentinel; approved compliance-review classification,True
ad872cca36f2775c,False,edd_required,38.7,36.7,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_high_risk_sector""]","[""floor_rule_high_risk_sector""]","{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:c4326d95566e"",""stale:unmapped_ownership:d7e4e3dac569"",""stale:unmapped_sector:d8fba178b134"",""stale:unmapped_service:ddce9be842e8""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel; approved compliance-review classification,True
1a0a60963a437f21,True,draft,28.0,28.0,28.0,28.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:949260d787d5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:e326b320e66c""]",[],BLOCKED,new fail-closed unresolved sentinel,True
94870af681252428,False,kyc_submitted,21.0,21.0,21.0,21.0,LOW,LOW,Fast Lane,Fast Lane,direct_low_medium,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:949260d787d5"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8""]",[],BLOCKED,new fail-closed unresolved sentinel,True
1275a95e5f427e68,False,kyc_submitted,18.7,16.7,18.7,16.7,LOW,LOW,Fast Lane,Fast Lane,compliance_required,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel; approved compliance-review classification,True
